Trial-ID,Status,Iteration,batch_size,lrinit,optimizer,Objective
17,INTERMEDIATE,5,256,0.0003792166071455822,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,563.19189453125
17,INTERMEDIATE,6,256,0.0003792166071455822,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,562.2149658203125
17,INTERMEDIATE,7,256,0.0003792166071455822,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,561.3698120117188
17,INTERMEDIATE,8,256,0.0003792166071455822,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,560.6261596679688
17,INTERMEDIATE,9,256,0.0003792166071455822,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,559.9592895507812
17,COMPLETED,9,256,0.0003792166071455822,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,559.9592895507812
18,INTERMEDIATE,0,128,5.1144552954180215e-09,<class 'tensorflow.python.keras.optimizer_v2.adamax.Adamax'>,16622.95703125
18,INTERMEDIATE,1,128,5.1144552954180215e-09,<class 'tensorflow.python.keras.optimizer_v2.adamax.Adamax'>,16622.95703125
18,INTERMEDIATE,2,128,5.1144552954180215e-09,<class 'tensorflow.python.keras.optimizer_v2.adamax.Adamax'>,16622.95703125
18,INTERMEDIATE,3,128,5.1144552954180215e-09,<class 'tensorflow.python.keras.optimizer_v2.adamax.Adamax'>,16622.95703125
18,INTERMEDIATE,4,128,5.1144552954180215e-09,<class 'tensorflow.python.keras.optimizer_v2.adamax.Adamax'>,16622.95703125
18,INTERMEDIATE,5,128,5.1144552954180215e-09,<class 'tensorflow.python.keras.optimizer_v2.adamax.Adamax'>,16622.95703125
18,INTERMEDIATE,6,128,5.1144552954180215e-09,<class 'tensorflow.python.keras.optimizer_v2.adamax.Adamax'>,16622.95703125
18,INTERMEDIATE,7,128,5.1144552954180215e-09,<class 'tensorflow.python.keras.optimizer_v2.adamax.Adamax'>,16622.95703125
18,INTERMEDIATE,8,128,5.1144552954180215e-09,<class 'tensorflow.python.keras.optimizer_v2.adamax.Adamax'>,16622.95703125
18,INTERMEDIATE,9,128,5.1144552954180215e-09,<class 'tensorflow.python.keras.optimizer_v2.adamax.Adamax'>,16622.95703125
18,COMPLETED,9,128,5.1144552954180215e-09,<class 'tensorflow.python.keras.optimizer_v2.adamax.Adamax'>,16622.95703125
19,INTERMEDIATE,0,64,0.0013863865251063693,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,6182.31494140625
19,INTERMEDIATE,1,64,0.0013863865251063693,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,2974.5361328125
19,INTERMEDIATE,2,64,0.0013863865251063693,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,1693.5643310546875
